respondent_id,profile_level,format,experience,scenario_order,cat_1,cat_2,cat_3,cat_4,lying_1,lying_2,lying_3,lying_4,stealing_1,stealing_2,stealing_3,stealing_4
R0018,IIR0,comic,moderate,Lying|Stealing|Cat,I don't really know why he kept the cat.,I just couldn't figure it out from reading the comic.,You should always wear a raincoat or take an umbrella when it rains.,"The cat was sitting out in the rain in one of the panels, and my mom always tells me you can get sick if you stay out in the rain too long.",I don't really know. I guess she just likes taking tests quietly.,"Because the teacher said they only have 40 minutes, so she is probably just trying to finish on time.",You should always use a pencil when you take a math test.,Because in the comic you can see they are both holding pencils at their desks to do the bubbling.,I don't really know why.,I just couldn't think of a reason for it.,"I don't know, maybe that the beach is a fun place to ride your bike.",Because the first picture shows them riding by the water.
R0019,IIR0,text,little,Lying|Cat|Stealing,"Um, I don't really know. Cats like drinking milk.",My aunt has a cat that drinks milk from a bowl.,I don't know what the lesson is.,I just couldn't think of anything for it.,"Um, I don't really know.",I just couldn't find why she didn't tell in the story.,You should always eat a good breakfast before taking a test.,Because my mom always tells me breakfast helps you think better on math tests.,I don't really know. Maybe he wanted ice cream.,Because he was at the ice cream shop in the story.,"Um, maybe that bikes are really fast.",Because I have a bike and it goes fast.
R0020,IIR0,text,moderate,Stealing|Cat|Lying,I have no idea why he decided to keep the cat at the end.,"The story doesn't really explain it, he just suddenly says he is taking it home.",I don't really know. Maybe that basketball is a fun game to play.,The kids in the story were talking about playing basketball together.,I don't really know why she didn't tell the teacher.,"The story just doesn't say the reason, so I can't really answer it.",I'm not really sure. Maybe the lesson is that middle school math tests are 40 minutes long.,"The teacher told the class they had 40 minutes to finish at the beginning, so I just picked that.",I'm not really sure why he kept the lady's wallet.,I just don't know the answer to this because the story was kind of confusing right at the end.,You should always lock up your bike when you go to the beach so it doesn't get taken.,"I thought of this answer because he was riding his beautiful bike to the beach, and I know bikes can get stolen there if you aren't careful."
R0021,IIR0,text,lot,Cat|Stealing|Lying,"To be perfectly honest, I possess absolutely no idea why the protagonist decided to keep the feline.",The narrative simply did not provide me with a logical pathway to deduce his underlying motivations.,A reader might conclude that atmospheric weather patterns are highly unpredictable and require preparation.,"I drew this conclusion from my background in meteorology, considering the text mentioned the sudden presence of cold rain.",I frankly have no idea why she chose to withhold that information from her instructor. It could potentially be that the classroom environment was simply too quiet to facilitate an interruption.,"I truly do not know the exact reason behind her silence. I merely speculated about the ambient noise level of the testing room, since I lack a logical explanation for her behavior.","I am unable to deduce a meaningful moral from this narrative. If I had to guess, the primary takeaway is that mathematical assessments typically require students to bubble in their responses rapidly.","I could not extract a deeper thematic lesson from the text, so I simply referenced the specific testing methodology described, as standardized exams frequently utilize these types of answer sheets.",I am honestly utterly baffled by his decision-making process in this scenario; perhaps he merely wished to inspect the intricate stitching of the accessory.,I am simply making a conjecture based on my own profound appreciation for high-quality leather goods and their remarkable durability.,A profound lesson to extract from this narrative is that one should always be mindful of the precise geographical locations of local artisanal ice cream parlors.,I drew this conclusion because I frequently navigate my own community utilizing advanced GPS technology to locate superior frozen desserts.
R0022,IIR0,text,none,Cat|Stealing|Lying,I dont know.,it dosent say.,basketball is fun.,cause I play it.,i dont know.,im not sure.,math is really hard.,cause i dont like math tests.,I dont know.,I dont know why.,red bikes are fast.,I saw a red bike once.
R0023,IIR0,comic,little,Lying|Stealing|Cat,"Um, I don't really know.",I just didn't know what to write.,Maybe that black cats are bad luck.,I heard that from my mom before.,"Um, I'm not really sure. Maybe she just forgot to talk to the teacher.","I don't know, I just guessed because they are in school.",That you should always use a pencil when you take a test.,Cause in the pictures they are holding pencils at their desks.,I don't really know. Maybe he just wanted a black wallet.,I saw the wallet was black in the drawing.,"Um, maybe to ride your bike outside.",Because he rode his bike to the beach.
R0024,IIR0,text,little,Cat|Stealing|Lying,Maybe because cats are good at catching mice.,Um I read a book where a cat caught a mouse once.,I dont really know.,I just couldn't think of any lesson.,I don't really know why.,I just couldn't figure it out.,Math is a hard class to take.,Because they are taking a math test in the story.,"I don't know, maybe because he was eating ice cream.",Because the story said he bought ice cream to feel better.,I don't really know what the lesson is.,Um because the story just ends and doesn't say.
R0025,IIR1,comic,lot,Lying|Cat|Stealing,"He decided to keep the cat because he saw how sad it was while it was sitting in the rain, wet, cold, and shaking.","My answer comes from the text box that explicitly states the boy saw how sad the cat was, along with his dialogue where he tells the cat he is taking it to his home.",A lesson someone could learn from this is to pet a sad cat even if other kids are laughing at you and telling you not to.,"I concluded this directly from the panels where the red-headed boy initially stops petting the cat because the kids laugh, but later he pets the cat anyways even when they say he can't play basketball with them.","Sarah chooses not to tell the teacher because Rachel whispers to her not to tell, specifically reminding Sarah that they are best friends.","I know this because there is a panel where Rachel explicitly whispers, 'Sarah shhhhh. Don't tell on me. I'm your best friend' when Sarah catches her.","A lesson could be that if your best friend hasn't studied and decides to copy another student's test, they will ask you to keep it a secret from the teacher.","I based this entirely on the explicit events in the comic, where Rachel copies the boy in front of her after not studying, and then tells Sarah to hide it from Ms. Craig.","Billy kept the wallet because it had exactly three hundred dollars inside, which was the amount he needed to purchase the red bike he saw at the beach.","I know this because the comic illustrates him looking at the cash and specifically stating, 'With that money, I could buy that red bike!'",A lesson someone could learn from this story is to make sure you do not forget your wallet on the table when you leave an ice cream shop.,"I thought of this lesson because the story explicitly shows the lady leaving her wallet behind at the adjacent table, which resulted in her losing her money to Billy when she came back looking for it."
R0026,IIR1,text,lot,Stealing|Lying|Cat,"The red headed boy decided to keep the cat because he noticed how sad the cat looked while sitting in the rain, wet, cold, and shaking.","I thought of this because the story explicitly mentions that the red headed boy saw how sad the cat was right before he bent down, pet it, and decided to take it home.",A lesson to learn is that someone might choose to adopt a dirty cat even if other boys threaten that they won't let him play basketball with them anymore.,"I based this on the end of the text, where one of the boys told Bruno he couldn't play basketball if he touched the cat, but Bruno pet the cat anyways and brought it home.","Sarah refrains from telling the teacher because Rachel whispered to her not to tell, reminding Sarah that they are best friends.","I based this on the exact part of the text where Rachel says, 'Don’t tell on me. I’m your best friend,' right before the teacher asks if anything is going on.","A lesson you could learn is that if you choose not to study for a test, you might end up copying another student's answers and having your best friend lie to the teacher for you.","I thought of this because the narrative explicitly outlines Rachel saying she didn't study, subsequently looking over someone's shoulder to copy, and then Sarah telling Ms. Craig that nothing is going on.","Billy kept the lady's wallet because he discovered it contained exactly $300, which was the amount he needed to purchase the beautiful red bike he saw earlier.","I know this because the story explicitly states that when he opened the wallet, he said, 'With that money, I could buy that red bike!'","A lesson someone might learn is that if you accidentally leave your wallet behind at a table, another person might take it if they want to buy an expensive item.","I wrote that because the text describes the lady leaving her wallet at the ice cream shop, and Billy immediately grabbing it so he could use her $300 for his own purchase."
R0027,IIR1,text,none,Lying|Stealing|Cat,he saw how sad the cat was,the story says he saw how sad the cat was and took it to his home,dont let the boys stop you from petting the dirty cat,bruno pet the cat anyways when the boys said no,Rachel told her don't tell on me. Because they are best friends.,The story says Rachel whispered it to Sarah.,Do not cheat on the math test.,The teacher said remember no cheating before they started.,He wants to buy the new bike.,The story says he saw $300 in there and said he could buy the red bike.,Don't take the lady's wallet.,Cause Billy grabbed the wallet and lied to the lady about it.
R0028,IIR1,comic,little,Stealing|Lying|Cat,He kept the cat because he saw how sad the cat was sitting in the rain.,The words say 'The red headed boy saw how sad the cat was' at the end. Then he picks him up.,Maybe the lesson is to pet the cat anyway when your friends say they won't play basketball with you.,"Because the boy in the blue shirt yelled at him not to touch it, but then the boy bent down and touched the cat anyway to take him home.",Sarah doesn't tell the teacher because Rachel told her not to and said they are best friends.,"In the comic, Rachel whispers 'Don't tell on me' right before the teacher asks if something is going on.",Maybe the lesson is that you shouldn't cheat on your test.,Because the teacher wrote 'No cheating' on the chalkboard and Rachel was copying the boy's answer sheet.,He kept it because it had exactly $300 in it for the new red bike.,Because in the picture he opens the wallet and says with that money he could buy the red bike.,"Um, maybe don't keep wallets that ladies leave at the ice cream shop.","I guess because the story shows he grabbed her wallet when she left, and then he lied to her when she asked."
R0029,IIR1,text,little,Lying|Cat|Stealing,He kept the cat because he saw how sad the cat was.,Because the story says he saw how sad it was in the rain and called the cat a real friend.,You can still be nice to a dirty cat even if the other boys say you can't play basketball.,I read that the boy pet the cat anyways when the other kids said they wouldn't let him play basketball if he touched it.,"Um, because Rachel told her not to tell, and reminded her that she is her best friend.",I got it from the story where Rachel whispered 'Don't tell on me. I'm your best friend'.,Maybe that you shouldn't copy answers on a test when you didn't study.,Because the story says Rachel didn't study at all and then she was copying the kid's answer sheet.,He kept it because it had $300 inside so he could buy the red bike.,In the story he opens the wallet and says he can buy the red bike with the money.,Maybe don't lie and say you don't know where a wallet is when you took it.,Cause at the end the lady asks him for her wallet but he just tells her no.
R0030,IIR1,comic,lot,Cat|Lying|Stealing,"The red-headed boy decided to keep the cat because he saw how sad it was while sitting out in the rain, wet, cold, and shaking.","I thought of this because the story actually says that the boy saw how sad the cat was. Then he bent down, petted it, and told the cat he was taking it to his home.","A good lesson is that even if your friends say they won't let you play basketball with them, you can still pet the sad, dirty cat anyway and take it to your house.","I based this on the final panel where the friend tells him he can't play basketball anymore if he touches the cat. Despite that rule, the text says the boy bent down and pet the cat anyways.",Sarah chooses not to tell the teacher because Rachel explicitly asks her to stay quiet and reminds Sarah that they are best friends.,"I know this because there is a panel in the comic where Rachel whispers, 'Sarah shhhhh. Don't tell on me. I'm your best friend.'",The lesson is that best friends will keep secrets for each other and not tell the teacher if someone is cheating.,"I thought of this lesson because the story concludes with Sarah telling Ms. Craig that nothing is going on, specifically to protect her best friend.","Billy kept the lady's wallet because it contained exactly $300, which was the specific amount of money he needed to purchase the beautiful red bike he saw at the beach.","I know this because the seventh panel explicitly illustrates Billy looking at the cash and thinking, 'With that money, I could buy that red bike!'","The lesson from this story is that if an individual's parents refuse to buy them a new, expensive bicycle, they might decide to lie and keep a stranger's lost wallet to get the money instead.","I deduced this directly from the sequence of events in the panels. After his parents denied his request, Billy found the wallet, and when the lady returned to ask about it, he told her he didn't know where it was so he could keep the $300."
R0031,IIR1,text,none,Lying|Stealing|Cat,he saw the cat was sad and wet.,it said the boy saw how sad the cat was in the rain.,to take the sad cat home.,cuz the story says Bruno pet the cat anyways and took it home.,Cause Rachel said don't tell on me.,It says in the story she whispered I'm your best friend.,Remember no cheating.,The teacher said no cheating and Rachel was copying his answer sheet.,to buy the red bike.,cause he saw 300 and said he could buy that red bike.,dont keep the ladys wallet.,billy grabbed it and told her he dont know where it is.
R0032,IIR1,comic,little,Stealing|Cat|Lying,He kept the cat because he saw how sad the cat was. He said the cat is a real friend so he took him to his home.,In the last picture the words say he saw how sad it was. And the boy says to the cat I'm going to take you to my home.,I guess you learn that you can pet a dirty cat even if the other kids say you can't play basketball with them.,"Because the other kids yelled at him to not touch the dirty cat or no basketball, but he just pet the cat anyways.",Sarah doesn't tell the teacher because Rachel is her best friend.,In the comic Rachel whispers to Sarah to not tell on her because they are best friends.,Maybe the lesson is to not tell on your best friend when they are cheating on a math test.,I thought this because at the end Sarah tells Ms. Craig that nothing is going on after Rachel tells her to not tell.,"Um, he kept it because he wanted to buy that red bike and the wallet had 300 dollars.","In the picture he opens it and says 'With that money, I could buy that red bike!'",Maybe that you shouldn't lie to ladies about finding their wallet.,"I thought of that because at the end the lady asks if he saw her wallet and he just says no, I don't know where it is."
R0033,IIR1,comic,moderate,Lying|Stealing|Cat,He kept the cat because he saw how sad the cat was sitting in the rain.,In the last panel the box says 'The red headed boy saw how sad the cat was' and then he tells the cat he is taking him to his home.,You shouldn't listen to kids who laugh at you or say you can't play basketball just because you touch a dirty cat.,"Because the mean kid told him he couldn't play basketball with them if he touched the dirty cat, but the red headed boy pet the cat anyways.",Sarah doesn't tell because Rachel whispered to her to not tell on her since they are best friends.,I thought of that because in the comic Rachel says 'shhhhh. Don't tell on me. I'm your best friend'.,A lesson could be to not cheat on your test when you didn't study for it.,Because Rachel said she didn't study at all and then copied the boy's answers even though the teacher said no cheating.,He kept the wallet because it had exactly $300 in it and he wanted to use the money to buy the red bike.,"In the comic, he opens the wallet, sees the money, and says 'With that money, I could buy that red bike!' right after his parents told him they wouldn't buy it.",A lesson is to not leave your wallet behind on a table.,"I thought of that because the lady in the comic left her wallet on the table at the ice cream shop and Billy took it, so she couldn't find it when she came back."
R0034,IIR1,comic,moderate,Lying|Cat|Stealing,"He kept the cat because he saw that it was sad, wet, and cold from the rain.","In the comic it says 'the red headed boy saw how sad the cat was', and then he calls the cat a real friend and says he is taking him home.",A lesson is that you should help a sad cat even if your friends say they won't let you play basketball.,"I thought of that because the other kids were laughing at the cat and told the boy he couldn't play with them, but he bent down and pet the cat anyways.","Sarah doesn't tell the teacher because Rachel whispered to her to be quiet and said 'don't tell on me, I'm your best friend'.","I thought of that because I read it right in the speech bubble. Rachel told her not to tell, and then Sarah told Ms. Craig that nothing was going on.",The lesson is that you should study for your math test so you don't have to copy other people.,"I said that because at the beginning Rachel said she didn't study at all, and then later Sarah saw her copying the kid's answer sheet.",He kept the wallet because it had $300 in it and he wanted to use the money to buy the red bike.,"In one of the panels, he opens the wallet and his thought bubble says 'With that money, I could buy that red bike!'",The lesson is to not keep someone's wallet and lie to them about it.,"Because at the end of the comic, the lady comes back to ask for her wallet and Billy just says 'No, I don't know where it is.'"
R0035,IIR1,comic,none,Cat|Stealing|Lying,Because he saw the cat was sad.,The words in the box said the boy saw how sad the cat was.,Don't listen to kids who laugh at a dirty cat.,Because the boy pet the cat anyways when the other kids were mad.,cause rachel said don't tell im your best friend.,rachel whispered it in the story.,no cheating on tests.,the teacher wrote no cheating on the board.,to buy the red bike. it had 300 dollars.,he says it in the picture.,dont lie about finding a wallet.,at the end he tells the lady he doesnt know where it is.
R0036,IIR1,text,moderate,Stealing|Cat|Lying,He kept the cat because he saw how sad it was when it was sitting in the cold rain. He called the cat a real friend and decided to take it to his home.,"I thought of this because the story says the cat was wet and shaking, and Bruno saw how sad it was before he bent down to pet it.",The lesson is that you should help a sad cat even if the other boys say you can't play basketball with them anymore.,"Because at the end of the story, the mean boy told him he couldn't play basketball if he touched the dirty cat, but he pet the cat anyways.",Sarah doesn't tell the teacher because Rachel whispered to her to shhhhh and told her 'Don't tell on me. I'm your best friend.',I got that answer because it says right in the story that Rachel told Sarah not to tell on her right before the teacher asked if something was going on.,A lesson is that you should study for your tests so you don't end up having to copy the answers from the kid sitting in front of you.,"Because Rachel said she didn't study for the math test at all, and then Sarah saw her looking over another student's shoulder to copy his answer sheet.","He kept the wallet because it had exactly $300 inside it, and he wanted to use the money to buy the red bike he saw earlier.","In the story he says 'With that money, I could buy that red bike!' after his dad told him he couldn't get a new expensive one.",The lesson is don't keep a lady's wallet and lie to her just because your parents won't buy you a $300 bike.,"Because that is exactly what Billy did in the text. He wanted the bike, his dad said no, so he took the wallet when she left it on the table and lied when she came back."
R0037,IIR1,text,little,Stealing|Cat|Lying,"He kept the cat because it was wet and shaking in the rain, and he saw it was sad.",I thought that because the story says he saw how sad the cat was and then he called it a real friend.,A lesson is that you should pet the cat anyways even if the other boys say you can't play basketball.,"Because right at the end a boy said don't touch the cat or you can't play basketball, but he pet it anyways.","Um, Sarah doesn't tell because Rachel told her not to and said they are best friends.","Because right before the teacher asked, Rachel whispered 'Don't tell on me. I'm your best friend', so Sarah just said nothing was going on.",I guess the lesson is that you shouldn't just copy answers on a test if you didn't study.,"Because Rachel said she didn't study at all, and then Sarah saw her copying the answer sheet from the kid in front of her.",He kept it because he wanted the 300 dollars to buy the red bike.,"Well the story says he opened the wallet and saw the money, and said he could buy the bike with it.",Don't take a lady's wallet and say you don't know where it is.,I thought of that because Billy grabbed her wallet and then lied to her when she came back looking for it.
R0038,IIR1,comic,moderate,Stealing|Lying|Cat,He kept the cat because he saw how sad it was in the rain and wanted to give it a home.,The box in the comic specifically says 'The red headed boy saw how sad the cat was' right before he says he is taking it home.,You can be real friends with a cat even if the other kids laugh at you and won't let you play basketball.,"At the end, the mean boy yelled that he couldn't play basketball if he touched the dirty cat, but the red headed boy pet the cat anyways and called it a real friend.",Sarah doesn't tell on her because Rachel told her not to since she is her best friend.,In the comic it shows Rachel whispering 'Don't tell on me. I'm your best friend' to Sarah right before the teacher asks.,You should study for your test so you don't have to look over the kid's shoulder to copy his answer sheet.,"I thought of this because Rachel says she didn't study at all, and then later Sarah sees her copying the kid's answers.",Billy kept the wallet because it had $300 inside and he wanted to use it to buy the red bike.,"In the story, he opens the wallet and says that he can buy the red bike with that money since his parents wouldn't buy it for him.",A lesson is that you shouldn't forget your wallet on a table when you leave the ice cream shop.,I said that because the lady in the comic left her wallet on the table and Billy took the $300 from it.
