respondent_id,profile_level,format,cat_1,cat_2,cat_3,cat_4,lying_1,lying_2,lying_3,lying_4,stealing_1,stealing_2,stealing_3,stealing_4
R0017,IIR0,text,Because they played basketball.,It says the boys play basketball.,I don't know.,I have no experience reading these so I don't know what it means.,Because the teacher is named Ms. Craig.,The story says her name right there.,I don't know.,It doesn't tell you the lesson.,I don't know.,I just don't know the answer.,Bikes have two wheels.,Because Billy was riding a bike in the story.
R0018,IIR0,text,Because his name is Bruno.,He said his name was Bruno at the end.,I don't know.,Nothing made me think of it.,I dont know why she didn't tell.,I just guessed.,Math tests give you 40 minutes to finish.,The teacher said that in the story.,I don't know.,I didn't know what to write.,You can buy ice cream outside.,Because Billy went to the ice cream shop.
R0019,IIR0,comic,because his name is Bruno.,it said that in the bubble.,basketball is fun to play with friends.,they said he can come play basketball.,she is taking a math test.,the teacher said no cheating on the board.,i don't know.,i just dont know the answer.,because he wanted to.,i don't know.,you should always eat ice cream.,he was eating ice cream at the table.
R0020,IIR0,comic,Because cats like to eat fish.,My cat eats fish at home.,Basketball is a fun sport to play with friends.,Because they were playing basketball in the comic.,I dont know.,I just don't know why she didn't.,Math is really hard.,Because they are in a math class.,idk,the story didn't say,Ice cream is really good.,He went to the ice cream shop to eat it.
R0021,IIR0,comic,I don't know.,I just didn't really understand the story.,Basketball is a fun game to play.,Because I like playing basketball outside.,Because the chalkboard is green.,I saw a green chalkboard in the picture.,Always use a pencil.,Because you need pencils to do math.,I have no idea.,I just guessed.,Ice cream is good.,I like eating ice cream when I am sad.
R0022,IIR0,text,Because basketball is a fun game.,The boys played basketball.,Cats say meow.,I have a cat and he meows.,Because they had 40 minutes to finish.,The teacher said they had 40 minutes.,I don't know.,idk,I don't know.,I just don't know.,Ice cream is good.,He bought ice cream in the story.
R0023,IIR0,comic,I have no idea.,The story didn't really make sense to me.,Black cats are bad luck.,My mom told me that before.,Sarah is wearing a yellow shirt.,Because I saw it in the drawing.,I dont know what the lesson is.,I just couldn't think of anything.,Ice cream is really good.,He was at the ice cream shop.,Don't ride your bike too fast.,My brother fell off his bike once and got hurt.
R0024,IIR0,text,Because his hair was red.,I saw a kid with red hair once.,I don't know.,I just don't know what the lesson is.,I don't know.,It doesn't say.,Math is my least favorite subject.,I hate taking tests for 40 minutes.,I have no idea.,I couldn't find the answer in the reading.,Bikes are really fast.,I like riding my bike.
R0025,IIR0,comic,Because he has red hair.,It says he has red hair in the story.,Cats say meow.,My aunt has a cat.,Because the board says good luck no cheating.,I saw it on the green board.,I don't really know.,idk,I dont know.,I just dont.,Dont eat ice cream outside.,Because it melts.
R0026,IIR1,text,Because the cat was sad in the rain and the boy decided he was a real friend.,"The story says the boy saw how sad the cat was, petted him, and said 'hey there real friend.'","You should take a wet, cold cat home instead of playing basketball with mean boys.",Because the boy chose to take the cat to his home instead of listening to the boys who said he couldn't play basketball.,Sarah doesn't tell because Rachel told her not to since they are best friends.,"In the story, Rachel whispers 'Don't tell on me. I'm your best friend' to Sarah.","If your best friend is cheating on a math test, you don't tell the teacher.","Because Rachel asked Sarah not to tell, so Sarah told Ms. Craig that nothing was going on.",He kept the wallet because he wanted to buy the beautiful red bike.,"The text says he looked inside, saw $300, and said he could buy the red bike with it.",Don't take a lady's wallet just because you want a new red bike.,Because the story says Billy kept the $300 from the lady's wallet so he could get the bike his parents wouldn't buy him.
R0027,IIR1,comic,He kept the cat because he saw how sad the cat was in the rain and he was shivering.,The story says the red headed boy saw how sad the cat was and then he told the cat he will take him to his new home.,You should pet the cat anyways even if the other kids say they wont play basketball with you.,Because the boy bent down and pet the cat anyways when the kids were laughing and being mean to it.,Because Rachel is her best friend and she told her to be quiet.,In the picture Rachel whispers to Sarah shhhhh don't tell on me I'm your best friend.,You shouldn't tell the teacher if your best friend is copying someone on a math test.,"Rachel whispered don't tell on me I'm your best friend, so Sarah told the teacher nothing is going on.",He kept it because he looked inside and saw $300 to buy the red bike.,When he opened the wallet he said wow is this really $300 with that money I could buy that red bike.,If your parents wont buy you a bike you can say you don't know where the lady's wallet is.,"Billy's parents said no to the bike, so when he found the wallet he told the lady no I don't know where it is so he could keep the money."
R0028,IIR1,text,"Because the cat was sad, cold and shaking in the rain.",The text says Bruno saw how sad the cat was and then he said he would take it to his new home.,You can take a dirty cat home even if boys won't let you play basketball with them anymore.,"Because one of the boys said he couldn't play if he touched the cat, but Bruno pet him anyway and took him to his house.",Because Rachel told her not to tell on her.,"Rachel whispered that she is her best friend and to not tell, so Sarah just kept taking the test.",Don't tell the teacher if your best friend is copying answers.,Because Rachel told Sarah to be quiet and then Sarah told Ms. Craig nothing is going on.,He kept it because he wanted to use the $300 to buy the red bike.,The story said he looked in the wallet and said he could buy the bike with that money.,Don't forget your wallet on the table at the ice cream shop.,"Because the lady left it and Billy grabbed it, so she lost her 300 dollars."
R0029,IIR1,text,Because the cat was sad and sitting in the rain.,The story says Bruno saw how sad the cat was and decided to take him to his new home.,You shouldn't let people tell you not to touch a dirty cat.,"Because the boy told Bruno he couldn't play basketball if he touched it, but Bruno pet the cat anyways.",Because Rachel told her to be quiet and not tell.,The text says Rachel whispered 'shhhhh. Don't tell on me' to Sarah.,Don't tell on your best friend.,"Because Rachel told Sarah to not tell on her because they are best friends, and Sarah said nothing was going on.",Because he wanted to buy the red bike.,He opened the wallet and saw $300 and said that with that money he could buy the bike.,If you want an expensive bike you can take someone's wallet to pay for it.,"Because Billy's dad said he wouldn't buy him the expensive bike, so he took the lady's 300 dollars instead."
R0030,IIR1,comic,He kept the cat because he saw how sad it was sitting in the rain and he called it a real friend.,The story says 'The red headed boy saw how sad the cat was' and then he told the cat he is taking him to his home.,You can still pet a dirty cat even if the other kids laugh at you.,Because the boy bent down and pet the cat anyways when the other kids said they wouldn't play basketball with him.,Don't tell the teacher if your best friend is copying someone's answer sheet.,Because the teacher asked if something was going on and Sarah said nothing is going on right after Rachel told her not to tell.,Because Rachel whispered to her not to tell on her because she is her best friend.,In the picture Rachel says 'Don't tell on me. I'm your best friend' so Sarah just told the teacher nothing was going on.,Don't leave your wallet on the table at the ice cream shop.,"The lady left her wallet and forgot it, and Billy grabbed it so she couldn't find it when she came back.",He kept it so he could use the $300 to buy the red bike he wanted.,"Because in the comic he opens the wallet and says 'With that money, I could buy that red bike!'"
R0031,IIR1,text,Because he saw the cat was sad in the rain and decided it was a real friend.,Because Bruno told the cat 'hey there real friend' and said he was taking him to his home.,Don't laugh at a wet dirty cat on the street.,"Because the other boys were laughing and saying 'stinky cat' when it was shivering, but Bruno helped it.",Because Rachel told her not to and said they are best friends.,In the story Rachel whispered 'don't tell on me. I'm your best friend' to Sarah.,You shouldn't copy answers on your math test.,"Because the teacher said remember no cheating, but Rachel just copied the boy's answers.",Because there was $300 in the wallet and he wanted to buy the new bike.,The story says he looked inside it and said he could buy the red bike with the money.,Don't grab a wallet if a lady leaves it at an ice cream shop.,Because Billy took the lady's wallet from the table and then told her he didn't know where it was.
R0032,IIR1,comic,Because the other kids were laughing at the wet cat and he saw how sad it was.,"The story says the boy saw how sad the cat was and the kids were being mean, so he walked over and said he was taking him home.","If kids laugh at you for petting a dirty cat, you can just pet it anyways and take it home.",In the comic the boy bent down and pet the cat anyways even though the girl said she wouldn't let him play basketball.,Because Rachel told her 'shhhhh. Don't tell on me. I'm your best friend'.,I read the speech bubble where Rachel whispers that to Sarah right before the teacher asks if something is going on.,You shouldn't tell the teacher if your best friend copies someone's answers on a test.,Sarah tells the teacher 'Nothing is going on' after Rachel says not to tell on her.,He kept it because it had $300 inside and he wanted to buy the red bike.,"In the picture Billy looks in the wallet and says 'With that money, I could buy that red bike!'","If your parents won't buy you a bike, you can just keep a wallet you find to get the money.","Because his parents said no to the new bike, but then he found the lady's wallet with $300 and lied to her so he could keep it."
R0033,IIR1,comic,Because he saw how sad the cat was when the other kids were laughing at it.,The story says the red headed boy saw how sad the cat was and then he bent down and pet it.,You can take a dirty cat to your home if it is sad.,Because the boy saw the cat was sad in the rain and said he was going to take him to his home.,Because Rachel whispered to her to shhh and not tell on her.,In the comic Rachel says 'Don't tell on me. I'm your best friend' when Sarah catches her looking at the kid's answers.,To say nothing is going on if your best friend tells you not to tell on them.,Because the teacher asked if something was going on and Sarah said nothing was going on.,He kept it because it had $300 and he wanted to buy the red bike he saw at the beach.,"He opened it and said that with that money he could buy the red bike, and then told the lady he didn't know where it was.","If someone leaves their wallet, you can keep the money to buy something you want.",Because the lady forgot her wallet and Billy kept the $300 so he could buy the red bike.
R0034,IIR1,text,Because he saw how sad the cat was and he wanted to take him to his home.,"The story said he saw how sad the cat was when it was shaking in the rain, and then he called the cat a real friend.",You shouldn't let kids stop you from playing basketball just because you touch a dirty cat.,"Because one of the boys said he wouldn't let him play basketball if he touched the cat, but Bruno pet it anyways.",Because Rachel told her not to tell on her.,I read the part where Rachel whispered 'shhhhh. Don't tell on me. I'm your best friend'.,You shouldn't look over the shoulder of the kid sitting right in front of you.,Because Rachel didn't study at all and the teacher said no cheating before she passed the tests out.,Because it had $300 in it and he wanted to buy the red bike.,"When he opened the wallet he said 'With that money, I could buy that red bike!'.",Don't say you don't know where a wallet is if you grabbed it from a table.,Because the lady forgot her wallet at the ice cream shop and Billy told her he didn't know where it was.
respondent_id,profile_level,format,cat_1,cat_2,cat_3,cat_4,lying_1,lying_2,lying_3,lying_4,stealing_1,stealing_2,stealing_3,stealing_4
R0035,IIR1,comic,He kept it because he saw how sad the cat was in the rain.,The story says 'The red headed boy saw how sad the cat was' and then he tells the cat he is taking him to his home.,You can pet a cat even if other kids say they won't play basketball with you.,The boy bent down and pet the cat anyways after the kids told him they wouldn't play with him if he touched it.,Because Rachel told her not to tell and said they are best friends.,"In the comic Rachel whispers to Sarah, 'Don't tell on me. I'm your best friend.'",You should just say nothing is going on if your best friend is cheating.,"Because when the teacher asks if something is going on, Sarah says nothing is going on and just keeps taking her test.",Because it had $300 in it and he wanted to buy the red bike he saw at the beach.,"When he opens it, he says 'Wow, is this really $300? With that money, I could buy that red bike!'",Don't leave your wallet on the table at the ice cream shop.,The lady forgot her wallet on the table and Billy took it so she couldn't find it when she came back.
R0036,IIR1,text,"Because he saw the cat was sad and shaking in the rain, and he decided it was a real friend.","The story says he saw how sad the cat was, bent down to pet it anyways, and told it he was taking it to his home.","If boys who play basketball are laughing at a dirty wet cat, you can just take it home instead of playing with them.","Because Bruno's friends told him he couldn't play basketball if he touched the dirty cat, but he just petted it and took it home.",Sarah didn't tell because Rachel told her to shhhhh and said they were best friends.,Because in the story Rachel whispers 'Don't tell on me. I'm your best friend' right before the teacher asks if something is going on.,"If you don't study for a math test, you can look over a kid's shoulder and your best friend won't tell Ms. Craig.","Because Rachel didn't study at all and copied a boy, but Sarah just said 'Nothing is going on Ms. Craig' and went back to her test.",He kept the wallet because it had exactly $300 inside of it and he wanted to buy the red bike he saw earlier.,"The story says he looked in the wallet and said 'Wow, is this really $300? With that money, I could buy that red bike!'","If your parents say they won't buy you a $300 bike, you can just keep a lady's lost wallet at the ice cream shop to get the money.","Because Billy's dad said no to the expensive bike, so when Billy found the lady's wallet with $300 he told her he didn't know where it was."
R0037,IIR1,comic,He saw the cat was sad and shaking in the rain.,The text says the boy saw how sad the cat was and walked over to pet it anyway.,You can take a dirty cat to your home.,The red headed boy told the cat he was going to take him to his new home even when the other kids laughed at it.,Because Rachel is her best friend and told her not to.,Rachel whispered 'Sarah shhhhh. Don't tell on me. I'm your best friend' right before the teacher asked.,Don't copy answers from the kid sitting in front of you.,Sarah saw Rachel copying off the kid in front of her because Rachel didn't study.,Because he wanted to buy the red bike.,He looked in the wallet and saw $300 and said with that money he could buy that red bike.,You shouldn't keep someone's wallet and say you don't know where it is.,"Billy grabbed the lady's wallet and when she came back looking for it, he said 'No, I don't know where it is'."
R0038,IIR1,comic,He kept the cat because he saw how sad the cat was in the rain.,The words say 'The red headed boy saw how sad the cat was' and then he said he was going to take it to his new home.,You can take a dirty cat to your home even if kids say you can't play basketball with them.,The kid said 'Don't think I'll let you play basketball with us again if you touch that dirty cat!' but he pet the cat anyways.,Because Rachel is her best friend and told her not to tell.,Rachel whispered 'Sarah shhhhh. Don't tell on me. I'm your best friend' right before the teacher asked her.,Don't look over the shoulder of the kid sitting right in front of you.,The story says Rachel was looking over the kid's shoulder to copy his answer sheet.,He kept it because he wanted to use the money to buy the red bike.,"In the thought bubble he opens the wallet and says 'With that money, I could buy that red bike!'",Don't leave your wallet on the table at the ice cream shop.,Because in the story the lady forgot her wallet and Billy took it so he could use her 300 dollars.
R0039,IIR1,comic,"Because he saw the other kids laughing at the wet cat, so he called the cat his real friend and decided to take him home.",The story says he saw how sad the cat was and he told the cat 'I'm going to take you to your new home'.,Don't point and laugh at cats that live on the street.,Because the kids in the pictures were pointing and laughing and calling him a stinky yucky cat.,Because Rachel told her to be quiet and said not to tell on her.,I read the speech bubble where Rachel whispers 'Don't tell on me. I'm your best friend.',You shouldn't copy the answers from the kid sitting right in front of you.,Because the teacher wrote 'No cheating' on the green chalkboard but Rachel looked over the boy's shoulder to copy his answer sheet.,Because there was exactly $300 in the wallet and he wanted to use it to buy the cool red bike.,"In the comic he looks in the wallet and thinks 'Wow, is this really $300? With that money, I could buy that red bike!'",Don't tell a lady you don't know where her wallet is when you actually have it.,"Because the lady came back and asked him if he saw her wallet and he just said 'No, I don't know where it is.'"
R0040,IIR1,comic,He kept the cat because he saw that it was sad and wet in the rain.,The story says 'The red headed boy saw how sad the cat was' and then he said he was taking him to his home.,You shouldn't let kids laugh at you for petting a dirty cat.,Because the kids laughed at the boy for touching the stinky cat and he hated being laughed at.,Because Rachel told Sarah not to tell on her because they are best friends.,Rachel whispered 'Sarah shhhhh. Don't tell on me. I'm your best friend' right before the teacher asked.,"If your best friend tells you to shush, you should tell the teacher nothing is going on.","Because when the teacher asked if something was going on, Sarah just said 'Nothing is going on Ms. Craig' and kept taking her test.",Billy kept it so he could use the 300 dollars to buy the beautiful red bike.,"In the comic he opens the wallet and says 'With that money, I could buy that red bike!' after his parents said he couldn't get a new one.",You shouldn't forget your wallet at the ice cream shop.,Because the lady left her wallet on the table and Billy grabbed it and kept her 300 dollars.
R0041,IIR1,text,Because he saw how sad the cat was sitting in the rain and shaking.,The story says 'The red headed boy saw how sad the cat was' right before he walked over to it.,"If boys tell you that you can't play basketball if you touch a dirty cat, you can still take it home.","Because one of the boys told Bruno he couldn't play basketball if he touched the dirty cat, but Bruno pet it anyway and said he was taking it to his home.",Because Rachel told her to be quiet and not tell on her since they are best friends.,The text says Rachel whispered 'Sarah shhhhh. Don't tell on me. I'm your best friend' when Sarah saw her.,"If you don't study for a math test, don't copy the answers from the kid sitting in front of you.",Because Rachel didn't study at all for the 40 minute test so she looked over the shoulder of the kid in front of her.,He kept it because he opened it and saw 300 dollars so he could buy the red bike he wanted.,"Because Billy said 'With that money, I could buy that red bike!' after he opened her wallet at the ice cream shop.",You shouldn't take a lady's wallet when she forgets it at a table and then tell her you don't know where it is.,Because the lady came back looking for her wallet and Billy lied and said he didn't know where it was after he grabbed it.
R0042,IIR1,comic,He kept the cat because it was crying and shaking in the cold.,"The book says the boy saw how sad the cat was, and then he walked over and pet it.",You should give a cat a home if it is sad in the rain.,Because the story says the red headed boy saw how sad the cat was and told him he was taking him to his home.,Because Rachel told her to be quiet and said they are best friends.,The words in the bubble show Rachel whispering 'Don't tell on me. I'm your best friend' right before the teacher asks.,You should study a lot for your math test.,"Because Rachel said she didn't study at all, and then she had to copy the boy sitting right in front of her.",Because he wanted to use the 300 dollars to buy the red bike.,"In the comic Billy opens the wallet and says 'With that money, I could buy that red bike!'",Don't forget your wallet on the table at the ice cream shop.,Because the lady left her wallet and Billy grabbed it and kept it.
R0043,IIR1,comic,Because he saw how sad the cat was sitting in the rain.,The words said the red headed boy saw how sad the cat was and walked over to it.,You can take a dirty cat home if it is sitting in the rain.,Because the kids were laughing but the boy saw the cat was wet and shaking so he took it to his home.,Sarah doesn't tell because Rachel whispered to her to not tell on her.,The comic bubble says Rachel told her shhhhh and that she is her best friend.,You should not tell on your best friend if she is copying.,Because Rachel said she was her best friend so Sarah kept quiet when the teacher asked.,He kept it because it had 300 dollars inside so he could buy the red bike.,In the picture Billy looks in the wallet and says he can buy that red bike with the money.,"If your parents won't buy you a bike, you can keep a wallet you find at the ice cream shop.","Because his parents told him no, and then he found the wallet with $300 and didn't give it back to the lady."
R0044,IIR1,text,He kept the cat because he saw how sad it was and said it was a real friend.,The text says Bruno saw how sad the cat was and then said hey there real friend.,You can learn to be nice to a dirty cat instead of laughing at it.,Because the story says the boys were being mean and laughing at the cat in the rain.,Because Rachel told her shhhhh and said she is her best friend.,I know because Rachel whispered 'Don't tell on me. I'm your best friend' right before the teacher asked.,The lesson is to not look over the shoulder of the kid sitting in front of you.,Because Rachel didn't study so she looked over the kid's shoulder to copy his answer sheet.,Because there was exactly 300 dollars in it to buy the red bike.,"Because in the story he opens the wallet and says wow is this really $300, I could buy that red bike.",Don't tell a lady you don't know where her wallet is when you just grabbed it.,Because Billy grabbed her wallet off the table and then lied to her face saying he didn't know where it was.
R0045,IIR1,text,Because he saw how sad the cat was in the rain and called the cat a real friend.,In the story Bruno walked over to the sad cat and said he was his real friend and was taking him to his home.,You can touch a dirty cat even if the other boys say you can't play basketball with them.,"Because one of the boys said he wouldn't let him play basketball if he touched the cat, but Bruno bent down and pet the cat anyways.",Because Rachel told her to shhh and not tell on her.,Rachel whispered to Sarah that they are best friends so she shouldn't tell on her.,Best friends won't tell the teacher if you are copying another student's test.,"Because Rachel reminded Sarah they were best friends, and then Sarah told Ms. Craig that nothing was going on.",Because the wallet had 300 dollars in it and he wanted to buy the new bike.,The story said he opened it and saw the 300 dollars and said he could buy the red bike.,Don't forget your wallet on the table when you get ice cream.,Because the lady left her wallet at the table next to Billy and he grabbed it so she couldn't find it.
R0046,IIR1,text,"Because the cat was sad and shaking in the rain, and he wanted to take it to his home.","In the text it says the boy saw how sad the cat was, bent down to pet it, and said 'hey there real friend'.",You shouldn't laugh at someone just because they are petting a dirty cat.,The other boys kept laughing at the red headed boy and telling him they wouldn't play basketball with him if he touched the stinky cat.,Because Rachel told Sarah not to tell on her and said she was her best friend.,The story says Rachel whispered 'Don't tell on me. I'm your best friend' right before the teacher asked if something was going on.,You should study for your math tests.,"Rachel said she didn't study at all, and then she had to look over the shoulder of the kid in front of her to get the answers.",He kept it because there was $300 inside it and he wanted the new bike.,"When he opened it he said 'wow, is this really $300?' and then said he could use the money to buy the red bike.",Don't tell a lady you don't know where her wallet is when you took it.,"At the end Billy took the wallet from the table, and when the lady came back looking for it he said 'No, I don't know where it is'."
R0047,IIR1,text,Because the cat was sitting in the rain wet and cold and Bruno called him a real friend.,It says Bruno saw how sad the cat was and he bent down to pet him anyways.,You should take the dirty cat home even if boys say they won't let you play basketball.,"Because the boy said he wouldn't let Bruno play basketball if he touched the dirty cat, but Bruno took him to his home anyway.",Because Rachel told Sarah to shhhhh and not to tell on her.,In the story Rachel whispers to Sarah not to tell because she is her best friend.,You shouldn't look over the shoulder of the kid sitting in front of you.,Because Rachel didn't study at all so she was copying the answers from the kid in front of her.,Because he wanted the new red bike and the wallet had 300 dollars inside of it.,The story said Billy opened the wallet and said with that money he could buy the red bike.,Don't say you don't know where a wallet is when you grabbed it.,Because the lady came back looking for her wallet and Billy lied and said he didn't know where it is.
R0048,IIR1,comic,He kept the cat because he saw that the cat was sad and shaking in the rain.,The story text says 'The red headed boy saw how sad the cat was. He walked over to it.' and then he said he is taking it to his home.,You can still pet a dirty cat even if the other kids say they won't play basketball with you anymore.,"The kid in the blue shirt yelled that he wouldn't let him play basketball if he touched the cat, but the red headed boy bent down and pet the cat anyways.",Sarah didn't tell because Rachel told her to be quiet and said they are best friends.,In the comic Rachel whispers 'Sarah shhhhh. Don't tell on me. I'm your best friend'.,You shouldn't copy answers on a test.,"The teacher wrote 'No cheating' on the green board, but Rachel was looking over the shoulder of the kid in front of her to copy his answers.",He kept the wallet because he wanted the 300 dollars inside of it to buy the new red bike.,"When he opened the wallet in the picture, he said 'Wow, is this really $300? With that money, I could buy that red bike!'",Don't tell a lady you don't know where her wallet is if you actually have it.,"Because Billy hid the wallet and told the lady 'No, I don't know where it is' when she came back looking for it at the ice cream shop."
R0049,IIR1,text,He kept the cat because he saw how sad it was in the rain and decided it was his real friend.,"Because the text says Bruno saw how sad the cat was, bent down, and said 'hey there real friend.'",You can pet a dirty cat even if the other boys say you can't play basketball with them.,"Because the boy said he wouldn't let him play basketball if he touched the cat, but Bruno pet the cat anyways.",Sarah didn't tell because Rachel is her best friend and told her to shhhhh.,Because Rachel whispered 'Don't tell on me. I'm your best friend' right before the teacher asked if something was going on.,"If your best friend didn't study and looks at another student's answers, you just tell the teacher nothing is going on.",Because Rachel was copying the kid's answers and Sarah just told Ms. Craig that nothing is going on and kept taking her test.,Don't forget your wallet at a table when you go get ice cream.,"Because the lady forgot her wallet and Billy grabbed it, so when she came back she couldn't find it anywhere.",He kept it because it had $300 in it and he wanted to use the money to buy the red bike.,"Because the story says Billy opened the wallet and said 'With that money, I could buy that red bike!'"
R0050,IIR1,text,"He kept it because he saw the cat was sad, wet, and cold in the rain.",The story said 'The red headed boy saw how sad the cat was' and he bent down to pet it and told it he was taking it to his home.,You can take a dirty street cat to your house instead of playing basketball with the boys.,"Because the other boy said he wouldn't let him play basketball if he touched the cat, but Bruno took the cat home anyways.",She doesn't tell because Rachel is her best friend and told her to shhhhh.,In the text it says Rachel notices Sarah looking and whispers for her not to tell on her.,You can tell the teacher nothing is going on if your best friend asks you not to tell on them.,Because Rachel whispered 'Don't tell on me. I'm your best friend' and then Sarah told the teacher that nothing was going on.,He kept it so he could use the $300 inside to buy the red bike he saw.,Because the story says Billy opened the wallet and said with that money he could buy that red bike.,"If your parents won't buy you an expensive bike, you can just keep a lady's wallet to get the money for it.","Because his dad told him no to the new bike, so when Billy found the wallet he lied to the lady so he could keep the 300 dollars."
R0051,IIR2,text,Because adopting a stray animal is a good thing to do.,There are lots of stray cats on the street that need a good home and somebody to feed them.,Don't hang out with mean people.,"If kids are bullies, they probably aren't good friends to have anyway.",Because you aren't supposed to snitch on your friends.,"Everyone knows that if you tell on a friend, they won't be your friend anymore.",You shouldn't cheat on tests.,Cheating doesn't actually help you learn anything in school.,Because he was being greedy and wanted the cash for himself.,Sometimes people steal things when they really want to buy something expensive.,Don't steal.,It's bad to take someone else's wallet because they probably need that money for important stuff.
R0052,IIR2,text,Because having a pet is way better than hanging out with toxic friends.,"Animals give you unconditional love and are always loyal, while teenagers can be really mean and judge you over nothing.",You shouldn't care about what other people think of you.,"Because bullies will always try to bring you down, but doing the right thing and being kind is more important.",She is being loyal and doesn't want to ruin her friendship.,"If you tell a teacher on your best friend, they will get really mad at you and probably never speak to you again.",You shouldn't be a snitch.,Because it's not worth losing a friend over school stuff. You just gotta mind your own business.,He wanted the cash so he could buy something expensive for himself.,"Kids can be pretty selfish, so if they find lost money they usually just think about the cool toys they can buy instead of returning it.",Don't let jealousy make you do bad things.,"When people get super jealous of what other kids have, they get greedy and forget their morals."
