respondent_id,level,format,experience,story,question,question_type,response_text,response_length_words,anchor_local,anchor_global,anchor_causal,anchor_mean_themes,anchor_theme_loyalty,anchor_theme_empathy,anchor_theme_peer_pressure,anchor_theme_kindness,keyword_composite,sim_WAYPOINT0,sim_WAYPOINT1,sim_WAYPOINT2,sim_WAYPOINT3,predicted_waypoint,semantic_quality,overall_composite,anchor_theme_loyalty_vs_honesty,anchor_theme_friendship,anchor_theme_integrity,anchor_theme_peer_loyalty,anchor_theme_temptation,anchor_theme_honesty,anchor_theme_consequences,anchor_theme_greed
R0005,WAYPOINT0,text,lot,lying,q3,inference,A fascinating lesson one might draw from this narrative is that the architectural layout of contemporary middle school classrooms typically features desks arranged in sequential rows.,26,0.6,1.0,0.6667,1.0,,,,,0.7833,,,,,,,0.7833,1.0,1.0,1.0,1.0,,,,
R0005,WAYPOINT0,text,lot,lying,q4,metacognitive,My reasoning stems directly from the detail that Rachel was able to look over the shoulder of the student positioned immediately in front of her.,25,0.6,0.4,0.6,0.75,,,,,0.5725,,,,,,,0.5725,1.0,1.0,1.0,0.0,,,,
R0005,WAYPOINT0,text,lot,stealing,q1,inference,I am honestly completely unsure as to why Billy chose to hold onto the wallet.,15,0.6,0.5,0.6,0.5,,,,,0.56,,,,,,,0.56,,,,,1.0,1.0,0.0,0.0
R0005,WAYPOINT0,text,lot,stealing,q2,metacognitive,"The narrative just states that he grabbed it after the lady walked away, so I don't really know how to explain his actual motivation.",24,0.4,0.0,0.2667,0.5,,,,,0.2683,,,,,,,0.2683,,,,,1.0,1.0,0.0,0.0
R0005,WAYPOINT0,text,lot,stealing,q3,inference,One lesson someone might take away is that it is incredibly important to stay hydrated while exercising during a bike trip to the beach.,24,0.6,0.75,0.75,0.75,,,,,0.7125,,,,,,,0.7125,,,,,1.0,1.0,1.0,0.0
R0005,WAYPOINT0,text,lot,stealing,q4,metacognitive,"I thought of this because riding a bicycle requires a substantial amount of physical exertion, and proper hydration is key to maintaining your overall stamina.",25,0.2,0.5,0.5,0.75,,,,,0.4625,,,,,,,0.4625,,,,,1.0,1.0,0.0,1.0
R0006,WAYPOINT0,text,none,cat,q1,inference,cats drink milk,3,0.0,0.2,0.1333,0.0,0.0,0.0,0.0,0.0,0.0967,,,,,,,0.0967,,,,,,,,
R0006,WAYPOINT0,text,none,cat,q2,metacognitive,my grandma has a cat,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,
R0006,WAYPOINT0,text,none,cat,q3,inference,i dont know,3,0.0,0.4,0.1333,0.25,0.0,1.0,0.0,0.0,0.1842,,,,,,,0.1842,,,,,,,,
R0006,WAYPOINT0,text,none,cat,q4,metacognitive,im not sure,3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.05,,,,,,,0.05,,,,,,,,
R0006,WAYPOINT0,text,none,lying,q1,inference,i dont know,3,0.4,0.0,0.0,0.75,,,,,0.2125,,,,,,,0.2125,1.0,1.0,1.0,0.0,,,,
R0006,WAYPOINT0,text,none,lying,q2,metacognitive,im just not sure,4,0.4,0.0,0.0,0.25,,,,,0.1375,,,,,,,0.1375,0.0,1.0,0.0,0.0,,,,
R0006,WAYPOINT0,text,none,lying,q3,inference,math is fun,3,0.4,0.0,0.1333,0.0,,,,,0.1467,,,,,,,0.1467,0.0,0.0,0.0,0.0,,,,
R0006,WAYPOINT0,text,none,lying,q4,metacognitive,i like math at school,5,0.4,0.0,0.1333,0.0,,,,,0.1467,,,,,,,0.1467,0.0,0.0,0.0,0.0,,,,
R0006,WAYPOINT0,text,none,stealing,q1,inference,i dont know.,3,0.2,0.0,0.0667,0.25,,,,,0.1108,,,,,,,0.1108,,,,,0.0,1.0,0.0,0.0
R0006,WAYPOINT0,text,none,stealing,q2,metacognitive,im just not sure.,4,0.2,0.0,0.0,0.5,,,,,0.125,,,,,,,0.125,,,,,1.0,0.0,0.0,1.0
R0006,WAYPOINT0,text,none,stealing,q3,inference,ice cream tastes good.,4,0.2,0.25,0.1667,0.5,,,,,0.2458,,,,,,,0.2458,,,,,1.0,1.0,0.0,0.0
R0006,WAYPOINT0,text,none,stealing,q4,metacognitive,he ate ice cream.,4,0.2,0.0,0.0667,0.0,,,,,0.0733,,,,,,,0.0733,,,,,0.0,0.0,0.0,0.0
R0007,WAYPOINT0,text,moderate,cat,q1,inference,"I don't really know, maybe he just likes to have animals around because they eat bugs.",16,0.4,0.8,0.5333,0.75,0.0,1.0,1.0,1.0,0.5992,,,,,,,0.5992,,,,,,,,
R0007,WAYPOINT0,text,moderate,cat,q2,metacognitive,I couldn't really find the exact answer so I just guessed since my own cat eats bugs at my house.,20,0.2,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.53,,,,,,,0.53,,,,,,,,
R0007,WAYPOINT0,text,moderate,cat,q3,inference,A good lesson is that you should always bring a jacket or umbrella when you go outside on a cloudy day.,21,0.4,0.8,0.8,0.75,0.0,1.0,1.0,1.0,0.6925,,,,,,,0.6925,,,,,,,,
R0007,WAYPOINT0,text,moderate,cat,q4,metacognitive,"Because the story mentioned it was raining and cold, and you don't want to get stuck in the rain without one.",21,0.4,0.6,0.6,0.25,0.0,0.0,0.0,1.0,0.4975,,,,,,,0.4975,,,,,,,,
R0007,WAYPOINT0,text,moderate,lying,q1,inference,I honestly don't know why she didn't tell the teacher.,10,0.4,0.2,0.1333,0.5,,,,,0.2717,,,,,,,0.2717,1.0,1.0,0.0,0.0,,,,
R0007,WAYPOINT0,text,moderate,lying,q2,metacognitive,"It just says she answered the teacher and then went back to taking her test, so I'm not sure.",19,0.6,0.6,0.6,0.75,,,,,0.6225,,,,,,,0.6225,0.0,1.0,1.0,1.0,,,,
R0007,WAYPOINT0,text,moderate,lying,q3,inference,A lesson could be that you should always use a good pencil when you bubble in answers.,17,0.8,0.6,0.5333,0.75,,,,,0.6492,,,,,,,0.6492,1.0,1.0,1.0,0.0,,,,
R0007,WAYPOINT0,text,moderate,lying,q4,metacognitive,Because the story talked about how Rachel was bubbling in every answer on her sheet really quickly.,17,0.8,1.0,0.3333,1.0,,,,,0.7167,,,,,,,0.7167,1.0,1.0,1.0,1.0,,,,
R0007,WAYPOINT0,text,moderate,stealing,q1,inference,Because wallets are used to hold important things like business cards and IDs.,13,0.4,0.5,0.5,0.75,,,,,0.5125,,,,,,,0.5125,,,,,1.0,1.0,1.0,0.0
R0007,WAYPOINT0,text,moderate,stealing,q2,metacognitive,That's just what wallets are used for in real life so I thought of that.,15,0.2,0.25,0.1667,0.25,,,,,0.2083,,,,,,,0.2083,,,,,1.0,0.0,0.0,0.0
R0007,WAYPOINT0,text,moderate,stealing,q3,inference,I don't really know what the lesson would be.,9,0.2,0.25,0.1667,0.25,,,,,0.2083,,,,,,,0.2083,,,,,0.0,1.0,0.0,0.0
R0007,WAYPOINT0,text,moderate,stealing,q4,metacognitive,The story just ends with him talking to the lady and doesn't explain a lesson.,15,0.0,0.0,0.0,0.75,,,,,0.1125,,,,,,,0.1125,,,,,1.0,1.0,1.0,0.0
R0008,WAYPOINT0,comic,lot,cat,q1,inference,I am honestly completely uncertain as to why the boy chose to keep the feline. A logical explanation simply doesn't manifest for me.,23,0.4,0.8,0.5333,0.5,1.0,0.0,1.0,0.0,0.5617,,,,,,,0.5617,,,,,,,,
R0008,WAYPOINT0,comic,lot,cat,q2,metacognitive,"I formulated that response because I genuinely do not know. I reviewed the sequence of the panels extensively, but his exact psychological motivation remains entirely ambiguous to me.",28,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.85,,,,,,,0.85,,,,,,,,
R0008,WAYPOINT0,comic,lot,cat,q3,inference,A potential takeaway from this narrative is that basketball is a rigorous sport that significantly enhances cardiovascular health and overall physical agility.,22,0.4,0.4,0.4,0.5,0.0,0.0,1.0,1.0,0.415,,,,,,,0.415,,,,,,,,
R0008,WAYPOINT0,comic,lot,cat,q4,metacognitive,I concluded this because the youths are explicitly depicted discussing and playing basketball. It is a universally established scientific fact that engaging in such dynamic team sports is phenomenal for your physical well-being.,33,0.6,0.8,0.8,0.25,0.0,0.0,0.0,1.0,0.6675,,,,,,,0.6675,,,,,,,,
R0008,WAYPOINT0,comic,lot,lying,q1,inference,I honestly have absolutely no idea why Sarah decided to keep that information from her instructor.,16,0.4,0.6,0.6,1.0,,,,,0.61,,,,,,,0.61,1.0,1.0,1.0,1.0,,,,
R0008,WAYPOINT0,comic,lot,lying,q2,metacognitive,I formulated this response because I simply couldn't deduce a logical explanation for her behavior from the provided illustrations.,19,0.4,1.0,0.6667,0.75,,,,,0.6958,,,,,,,0.6958,1.0,0.0,1.0,1.0,,,,
R0008,WAYPOINT0,comic,lot,lying,q3,inference,A lesson you could potentially learn from this story is that green chalkboards are an outdated technology for modern classrooms.,20,0.2,0.6,0.4,1.0,,,,,0.49,,,,,,,0.49,1.0,1.0,1.0,1.0,,,,
R0008,WAYPOINT0,comic,lot,lying,q4,metacognitive,"I based this conclusion entirely on the illustration of the teacher standing in front of the board, which just reminded me that most educational facilities use smartboards nowadays.",28,0.4,0.8,0.5333,1.0,,,,,0.6367,,,,,,,0.6367,1.0,1.0,1.0,1.0,,,,
R0008,WAYPOINT0,comic,lot,stealing,q1,inference,I genuinely have no idea why he decided to keep the lady's wallet. Perhaps he is just an avid collector of random leather accessories.,24,0.4,0.5,0.5,0.75,,,,,0.5125,,,,,,,0.5125,,,,,1.0,1.0,0.0,1.0
R0008,WAYPOINT0,comic,lot,stealing,q2,metacognitive,"I came to that conclusion because people frequently develop unique hobbies, and since I really don't know the actual reason, collecting seemed like a plausible enough explanation.",27,0.2,0.25,0.25,0.75,,,,,0.3125,,,,,,,0.3125,,,,,1.0,1.0,1.0,0.0
R0008,WAYPOINT0,comic,lot,stealing,q3,inference,The main takeaway from this narrative is that you should always make sure to enjoy a large ice cream cone when you are visiting a shop.,26,0.2,0.5,0.5,0.5,,,,,0.425,,,,,,,0.425,,,,,1.0,1.0,0.0,0.0
R0008,WAYPOINT0,comic,lot,stealing,q4,metacognitive,"I formulated this answer because there is a very detailed drawing of a giant blue ice cream cone on the wall of the parlor, which really stood out to me.",30,0.2,0.25,0.25,0.5,,,,,0.275,,,,,,,0.275,,,,,0.0,1.0,1.0,0.0
R0009,WAYPOINT1,text,lot,cat,q1,inference,"The red-headed boy kept the cat because he saw how sad the cat was while it was wet, cold, and shaking in the rain.",24,0.6,0.6,0.6,0.5,0.0,1.0,0.0,1.0,0.585,,,,,,,0.585,,,,,,,,
R0009,WAYPOINT1,text,lot,cat,q2,metacognitive,"The story directly mentions that Bruno noticed the cat was sad when the other boys were laughing at it, which caused him to call the cat a real friend and take it home.",33,0.6,0.6,0.6,0.75,0.0,1.0,1.0,1.0,0.6225,,,,,,,0.6225,,,,,,,,
R0009,WAYPOINT1,text,lot,cat,q3,inference,"A lesson you could learn is that if other boys say they will not let you play basketball with them for touching a dirty cat, you can just pet it anyways and take it home.",35,0.8,0.8,0.8,0.5,0.0,1.0,0.0,1.0,0.755,,,,,,,0.755,,,,,,,,
R0009,WAYPOINT1,text,lot,cat,q4,metacognitive,"I wrote this because the text explicitly states that the other boys told Bruno he couldn't play basketball if he touched the cat, but Bruno bent down, petted the cat, and took it to his home.",36,0.8,0.4,0.8,0.5,0.0,0.0,1.0,1.0,0.655,,,,,,,0.655,,,,,,,,
R0009,WAYPOINT1,text,lot,lying,q1,inference,Sarah decides not to tell the teacher because Rachel directly asks her to keep quiet and points out that they are best friends.,23,0.4,0.6,0.6,0.5,,,,,0.535,,,,,,,0.535,0.0,1.0,0.0,1.0,,,,
R0009,WAYPOINT1,text,lot,lying,q2,metacognitive,"I concluded this because right after Rachel is caught copying, she whispers to Sarah, 'Don't tell on me. I'm your best friend,' and then Sarah immediately tells the teacher that nothing is going on.",34,1.0,0.8,1.0,1.0,,,,,0.95,,,,,,,0.95,1.0,1.0,1.0,1.0,,,,
R0009,WAYPOINT1,text,lot,lying,q3,inference,"A lesson someone could learn is that if you choose not to study for a test, you might end up just guessing or copying someone else's answers.",27,0.8,0.4,0.8,1.0,,,,,0.73,,,,,,,0.73,1.0,1.0,1.0,1.0,,,,
R0009,WAYPOINT1,text,lot,lying,q4,metacognitive,"I based this on the text where Rachel admits she didn't study at all, and during the test Sarah sees her rapidly guessing and then looking over another student's shoulder to copy his answer sheet.",35,0.6,0.6,0.4,0.75,,,,,0.5525,,,,,,,0.5525,1.0,0.0,1.0,1.0,,,,
R0009,WAYPOINT1,text,lot,stealing,q1,inference,"Billy kept the lady's wallet because it contained exactly $300, which he realized he could use to purchase the beautiful bike he desired.",23,0.6,0.5,0.6,0.75,,,,,0.5975,,,,,,,0.5975,,,,,1.0,1.0,0.0,1.0
R0009,WAYPOINT1,text,lot,stealing,q2,metacognitive,"The text explicitly states that Billy opened the wallet, found the $300 inside, and directly said he could use that money to buy the red bike.",26,0.8,0.75,0.8,0.75,,,,,0.78,,,,,,,0.78,,,,,1.0,1.0,1.0,0.0
R0009,WAYPOINT1,text,lot,stealing,q3,inference,"A lesson someone might learn is that if you leave your wallet unattended at a table, another person who is upset about not getting a bike might take your money.",30,0.6,0.75,0.75,1.0,,,,,0.75,,,,,,,0.75,,,,,1.0,1.0,1.0,1.0
R0009,WAYPOINT1,text,lot,stealing,q4,metacognitive,"I thought of this because the narrative explicitly describes the lady forgetting her wallet on the table next to Billy, which gave him the opportunity to grab it and lie to her about it.",34,0.8,0.75,0.8,0.5,,,,,0.7425,,,,,,,0.7425,,,,,1.0,1.0,0.0,0.0
R0010,WAYPOINT1,text,none,cat,q1,inference,He keeped the cat cause it was wet and sad in the rain.,13,0.2,0.6,0.6,0.25,0.0,0.0,0.0,1.0,0.4475,,,,,,,0.4475,,,,,,,,
R0010,WAYPOINT1,text,none,cat,q2,metacognitive,The story said he saw how sad the cat was.,10,0.0,0.2,0.0667,0.5,0.0,1.0,0.0,1.0,0.1483,,,,,,,0.1483,,,,,,,,
R0010,WAYPOINT1,text,none,cat,q3,inference,To take the dirty cat home even if boys say you cant play basketball.,14,0.8,0.2,0.5333,0.75,1.0,1.0,1.0,0.0,0.5492,,,,,,,0.5492,,,,,,,,
R0010,WAYPOINT1,text,none,cat,q4,metacognitive,Because the story say Bruno pet the cat anyways when the boys said no basketball.,15,0.8,0.4,0.5333,0.5,1.0,0.0,0.0,1.0,0.5617,,,,,,,0.5617,,,,,,,,
R0010,WAYPOINT1,text,none,lying,q1,inference,Rachel said shhhh and told her not to tell.,9,0.4,0.0,0.2667,0.0,,,,,0.1933,,,,,,,0.1933,0.0,0.0,0.0,0.0,,,,
R0010,WAYPOINT1,text,none,lying,q2,metacognitive,I read it in the story where Rachel whispered she is her best friend.,14,0.4,0.8,0.2667,0.75,,,,,0.5058,,,,,,,0.5058,0.0,1.0,1.0,1.0,,,,
R0010,WAYPOINT1,text,none,lying,q3,inference,Dont tell on your best friend.,6,0.4,0.4,0.0,0.75,,,,,0.3125,,,,,,,0.3125,1.0,1.0,0.0,1.0,,,,
R0010,WAYPOINT1,text,none,lying,q4,metacognitive,Because Sarah said nothing is going on to the teacher.,10,0.4,0.6,0.4,0.5,,,,,0.465,,,,,,,0.465,1.0,0.0,1.0,0.0,,,,
R0010,WAYPOINT1,text,none,stealing,q1,inference,to buy the red bike.,5,0.2,0.25,0.0833,0.25,,,,,0.1792,,,,,,,0.1792,,,,,0.0,1.0,0.0,0.0
R0010,WAYPOINT1,text,none,stealing,q2,metacognitive,he said wow is this 300 and said he could buy the bike.,13,0.4,0.25,0.2667,0.25,,,,,0.2933,,,,,,,0.2933,,,,,0.0,1.0,0.0,0.0
